,Elo
Ellan Vannin,2040.0
South Ossetia,1974.0
County of Nice,2091.0
Romani people,2002.0
Székely Land,1952.0
Felvidék,1999.0
Chagos Islands,1852.0
Somaliland,1978.0
Panjab,2065.0
United Koreans in Japan,1980.0
Western Armenia,2018.0
Barawa,1852.0
Kárpátalja,2107.0
Yorkshire,2052.0
Surrey,2016.0
Cascadia,2039.0
Matabeleland,1982.0
Kabylia,1954.0
Parishes of Jersey,2013.0
Chameria,2049.0
Saint Helena,1921.0
Yoruba Nation,1983.0
Biafra,2015.0
Mapuche,2008.0
Maule Sur,2028.0
Aymara,1964.0
Brunei Darussalam,1971.0
